DISP#,Email Received,Response Due,Form Link,Alternative IDRE,Status,Selected IDRE,Payor,,,,,,,,,,,,,,Confirmed;Username; Identifier;First name;Last name;Status
"DISP-3102591,2025-05-01 04:14:04 AM CDT,5/2/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3Db45ddaf9-2Dd96d-2D49d9-2Da0a0-2Db8a78dcc9a7e&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=mILAIZpgJ_35N8zVgRlB5hLVsLBwyW_1iwchpBsk5SQnb3_wfu5uR9dPRUgA2Mzx&s=jran2ol1Nw1A_EtMbJcNyw0YMPkDqOOUC9FbppmHhPs&e=,""Network Medical Review Company, Ltd."",error,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
"DISP-3102076,2025-05-01 08:56:38 AM CDT,5/2/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3Dc5a36532-2Da1a2-2D4767-2Db838-2D3776ab6edcff&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=B5wn3Vb2cGWvf1mHoTgE2t6HxVXyPORVe7toYQ29yew251moniSVPirNvz6gb1Jx&s=wxG60EFanFCqSM24OrE8LyvdSQF6vI_FBIDn7DLkwN0&e=,""National Medical Reviews, Inc."",confirmed,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
"DISP-3122538,2025-05-01 09:32:56 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3Df2a2f2f5-2D29c1-2D4050-2Dae2e-2D0668214c222d&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=1SwPtOq9eneqiQuBggXQxvqO0IEQ1IwjiIwdQSszKibrfs_VDdVDZ4ekCcP0zO7X&s=nowNQFL8JcNkrC7tmfQVi3Jr78Qc0p2U03NnAIm-beA&e=,""Maximus Federal Services, Inc."",confirmed,""EdiPhy Advisors, L.L.C."",,,,,,,,,,,,,,,";;;;;
DISP-3102587,2025-05-01 09:33:56 AM CDT,5/2/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3Df242c67b-2Dc6c1-2D4b7b-2D99d9-2D92f0845ede2c&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=w3d-FEURZwAeVtOZsaERKnGjEkAOzPKeOvkQIkmPgPaohbruM326_fDfrr0mrQpg&s=hIO0T3N31E-yC5oq--3-2dhSNXl2j2Rhip_9RGQWmuw&e=,iMPROve Health,confirmed,,,,,,,,,,,,,,,,;;;;;
"DISP-3122451,2025-05-01 09:34:31 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3D1ceeefa6-2D0de7-2D4010-2Dbb7b-2Dc22d2a6e3059&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=sIJb1E9Ljgn5e7X6o7WZLvWzZUTW6Zm0bfBS2tERhuEBcdqsdCqWbjgn177EeTli&s=G5-flHyWuyvD8s9CMadFjK3YB-KPj6l5FUMla_vyDM4&e=,""Maximus Federal Services, Inc."",confirmed,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
"DISP-3122539,2025-05-01 09:35:23 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3D6696bb9c-2D5bc9-2D4848-2D8606-2Dca2a6758e93d&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=Y-avZcjT6bi7RCSsy-apW04As3biPPQAUsftbSfoOHAMiHmbi2bsVB3zpFjDQdi8&s=52_grj9MQYVik1vGtP3uAKDsqwHqAzqZ9puA-9CYkKY&e=,""Maximus Federal Services, Inc."",confirmed,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
"DISP-3122736,2025-05-01 09:39:01 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3Dfb9e940d-2D34ae-2D4a9a-2D9010-2Dca3b1e0698d2&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=kwKaxcGNeszRsub514kpWM7YK5fQ21e6_MIwCVjii1Xbnf2gAGDygo-Qbuj6TISW&s=07ZBtqph2ul3X2uMUODmn4p3lnOTl7KQMTRrnCO9z1I&e=,""Maximus Federal Services, Inc."",fo9hbGB6vjyLOAn6x06XRwsErBdzRV6YVrO58,""EdiPhy Advisors, L.L.C."",,,,,,,,,,,,,,,";;;;;
"DISP-3122705,2025-05-01 09:39:50 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3D67da35f3-2D6c8b-2D4fcf-2D8a0a-2De7f100b95cfc&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=SujBEslsgOrtE3AyHuVJFFvOruvjZrfxRIRixHTjrzJ1nAxNG2HvhqzFuwIZQrCU&s=p5KT9TK2JE_5MlBIbQbQGpr9DTZiGsFf3Buwq72jVn4&e=,""Maximus Federal Services, Inc."",confirmed,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
"DISP-3122740,2025-05-01 09:40:47 AM CDT,5/6/2025,https://urldefense.proofpoint.com/v2/url?u=https-3A__nsa-2Didr.cms.gov_entityapproval_s_-3Fguid-3D95f4908c-2Dffc2-2D4dcd-2D9b5b-2D30a961771805&d=DwMFaQ&c=euGZstcaTDllvimEN8b7jXrwqOf-v5A_CdpgnVfiiMM&r=xFfyB-lU5ZfkeZ6zGgO47NBEUdE02n8ozV47CiPTItU&m=ZkATBQZQyJ-TkFDt1O-s_6uKWYKe6vhdFEu3_gA9xOSBM-G4KVJgJ0Iu1MDqgjGg&s=yfpUwmx-HduTXJLBE_f8HmdsA3nnT2n63XXjFf_26Ww&e=,""Maximus Federal Services, Inc."",error,""C2C Innovative Solutions, Inc."",,,,,,,,,,,,,,,";;;;;
